조사일,상품명,업태,평균판매가격
2024-12-20,하이트 엑스트라 콜드(6캔),백화점,10770
2024-12-20,하이트 엑스트라 콜드(6캔),기업형슈퍼,10320
2024-12-20,하이트 엑스트라 콜드(6캔),편의점,13500
2024-12-20,백설 소면(900g),대형마트,3480
2024-12-20,백설 소면(900g),백화점,3148
2024-12-20,백설 소면(900g),기업형슈퍼,3224
2024-12-20,보노 콘스프(3개입),대형마트,3350
2024-12-20,보노 콘스프(3개입),백화점,3210
2024-12-20,보노 콘스프(3개입),기업형슈퍼,3608
2024-12-20,보노 콘스프(3개입),편의점,4000
2024-12-20,켈로그 콘푸로스트(600g),대형마트,7180
2024-12-20,켈로그 콘푸로스트(600g),백화점,7462
2024-12-20,켈로그 콘푸로스트(600g),기업형슈퍼,6471
2024-12-20,켈로그 콘푸로스트(600g),편의점,3000
2024-12-20,3분 백세카레 약간 매운맛(200g),대형마트,3680
2024-12-20,3분 백세카레 약간 매운맛(200g),백화점,3443
2024-12-20,3분 백세카레 약간 매운맛(200g),기업형슈퍼,3495
2024-12-20,3분 백세카레 약간 매운맛(200g),편의점,2400
2024-12-20,오뚜기밥(210g),백화점,2118
2024-12-20,오뚜기밥(210g),기업형슈퍼,1800
2024-12-20,오뚜기밥(210g),편의점,2000
2024-12-20,샘표 토장(900g),대형마트,11380
2024-12-20,샘표 토장(900g),백화점,8207
2024-12-20,샘표 토장(900g),기업형슈퍼,8474
2024-12-20,동서 벌꿀(600g),대형마트,20980
2024-12-20,동서 벌꿀(600g),백화점,18942
2024-12-20,동서 벌꿀(600g),기업형슈퍼,21480
2024-12-20,동서 벌꿀(900g),대형마트,30580
2024-12-20,동서 벌꿀(900g),백화점,23500
2024-12-20,백설 자일로스 설탕(1kg),대형마트,4480
2024-12-20,백설 자일로스 설탕(1kg),백화점,4733
2024-12-20,백설 자일로스 설탕(1kg),기업형슈퍼,4790
2024-12-20,남양 17차 티백(80개입),대형마트,7480
2024-12-20,남양 17차 티백(80개입),백화점,7300
2024-12-20,남양 17차 티백(80개입),기업형슈퍼,7185
2024-12-20,달콤한 삼육두유 B(16팩),백화점,15200
2024-12-20,달콤한 삼육두유 B(16팩),기업형슈퍼,10900
2024-12-20,카스 프레쉬(500ml),백화점,2440
2024-12-20,카스 프레쉬(500ml),기업형슈퍼,2216
2024-12-20,카스 프레쉬(500ml),편의점,2800
2024-12-20,삼다수(2L),대형마트,1075
2024-12-20,삼다수(2L),백화점,1190
2024-12-20,삼다수(2L),기업형슈퍼,1053
2024-12-20,삼다수(2L),편의점,1950
2024-12-20,삼다수(500ml),대형마트,478
2024-12-20,삼다수(500ml),백화점,585
2024-12-20,삼다수(500ml),기업형슈퍼,542
2024-12-20,삼다수(500ml),편의점,1100
2024-12-20,아이시스(500ml),대형마트,470
2024-12-20,아이시스(500ml),백화점,430
2024-12-20,아이시스(500ml),기업형슈퍼,388
2024-12-20,아이시스(500ml),편의점,1100
2024-12-20,포카리스웨트(620ml),백화점,2500
2024-12-20,포카리스웨트(620ml),기업형슈퍼,1850
2024-12-20,포카리스웨트(620ml),편의점,2500
2024-12-20,아이!깨끗해 항균폼 상큼한레몬향(250ml),대형마트,6900
2024-12-20,아이!깨끗해 항균폼 상큼한레몬향(250ml),백화점,5278
2024-12-20,아이!깨끗해 항균폼 상큼한레몬향(250ml),기업형슈퍼,4239
2024-12-20,아이!깨끗해 항균폼 상큼한레몬향(250ml),편의점,6900
2024-12-20,PACE6 스타일 면도날(4개),대형마트,20900
2024-12-20,PACE6 스타일 면도날(4개),백화점,14850
2024-12-20,PACE6 스타일 면도날(4개),편의점,14800
2024-12-20,2080 파워쉴드 블루더블민트(120g),백화점,2030
2024-12-20,2080 파워쉴드 블루더블민트(120g),기업형슈퍼,2700
2024-12-20,2080 파워쉴드 블루더블민트(3개),대형마트,9900
2024-12-20,2080 파워쉴드 블루더블민트(3개),백화점,5720
2024-12-20,2080 파워쉴드 블루더블민트(3개),기업형슈퍼,5905
2024-12-20,페리오 토탈7 오리지널(3개),대형마트,12900
2024-12-20,페리오 토탈7 오리지널(3개),백화점,7284
2024-12-20,페리오 토탈7 오리지널(3개),기업형슈퍼,8300
2024-12-20,크린랩 고무장갑 중(2세트),대형마트,6480
2024-12-20,항균 트리오(973ml),대형마트,3500
2024-12-20,항균 트리오(973ml),백화점,3285
2024-12-20,항균 트리오(973ml),편의점,3700
2024-12-20,"갈치(생물, 100g)",대형마트,4236
2024-12-20,"갈치(생물, 100g)",백화점,6220
2024-12-20,"갈치(생물, 100g)",기업형슈퍼,6973
2024-12-20,"고등어(생물, 300~500g)",대형마트,4703
2024-12-20,"고등어(생물, 300~500g)",백화점,10950
2024-12-20,"고등어(생물, 300~500g)",기업형슈퍼,5490
2024-12-20,"오징어(생물, 200~300g)",대형마트,10900
2024-12-20,"오징어(생물, 200~300g)",백화점,10000
2024-12-20,"오징어(생물, 200~300g)",기업형슈퍼,6949
2024-12-20,시금치(250~400g),대형마트,3658
2024-12-20,시금치(250~400g),백화점,4943
2024-12-20,시금치(250~400g),기업형슈퍼,3402
2024-12-20,"당근(흙당근, 100g)",대형마트,592
